Station_Name,Date,Year,Month,Month_Name,Season,City,State,City_Tier,Latitude,Longitude,AQI,AQI_Bucket,AQI_Risk_Level,AQI_Improvement_Rate,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Prominent_Pollutant,PM25_Standard_Exceeded,PM10_Standard_Exceeded,BOD,DO,pH,Coliform_Count,Fecal_Coliform,Total_Coliform,Water_Contamination_Index,Water_Quality_Status,Water_Body_Type,River_Name,BOD_Standard_Exceeded,DO_Standard_Below,All_Vehicles,Vehicular_Emission,Adjusted_Vehicular_Emission,Veh_Reduction_Pct,Vehicular_Emission_Reduction_Scenario,Industry_Name,Industry_Sector,CO2_Emissions,SO2_Emissions,NOx_Emissions,Total_Industrial_Emission,Industry_Emission_Rank,Population_Density,GDP_Cr,Pollution_per_Capita,Pollution_vs_GDP_Ratio,Public_Transport_Usage_Percent,NCAP_Flag,River_Pollution_Rank,Relative_Humidity_Pct,Temperature_C,Scenario_Label
"Satellite, Ahmedabad - GPCB",10/15/2011,2011,10,Oct,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,136.09,Moderate,Moderate,3.56,56.87,86.26,7.54,18.86,24.52,11.37,2.24,38.5,60.3,2.84,3.98,1.71,PM10,No,No,7.83,8.873,7.523,940,470,2538,1.31,Acceptable,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,23840,1703,1099,26642,4,3473,4434399,7.6712,0.006008,31,No,6,72,22.02,Scenario-Base
"Satellite, Ahmedabad - GPCB",11/15/2011,2011,11,Nov,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,167.91,Moderate,Moderate,-1.14,82.12,123.73,31.03,77.58,100.85,16.42,2.45,35.07,111.38,4.11,5.75,2.46,PM10,Yes,Yes,2.158,6.046,7.513,5294,2647,14294,1.15,Acceptable,River,Sabarmati,No,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,13378,533,2306,16217,4,3473,4434399,4.6695,0.003657,31,No,6,72,24.65,Scenario-Base
"Satellite, Ahmedabad - GPCB",12/15/2011,2011,12,Dec,Winter,Ahmedabad,Gujarat,1,23.03,72.59,162.87,Moderate,Moderate,3.03,80.67,95.19,45.71,114.28,148.56,16.13,4.09,7.75,151.77,4.03,5.65,2.42,O3,Yes,No,5.318,8.175,6.917,986,493,2662,0.82,Good,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,22746,1993,126,24865,4,3473,4434399,7.1595,0.005607,31,No,6,72,16.41,Scenario-Base
"Satellite, Ahmedabad - GPCB",1/15/2012,2012,1,Jan,Winter,Ahmedabad,Gujarat,1,23.03,72.59,170.65,Moderate,Moderate,2.55,93.4,107.35,28.51,71.28,92.66,18.68,3.84,57.96,107.99,4.67,6.54,2.8,O3,Yes,Yes,1.69,7.238,7.494,3462,1731,9347,0.85,Good,River,Sabarmati,No,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,3801,56,2730,6587,4,3496,4700463,1.8842,0.001401,31,No,6,72,16.51,Scenario-Base
"Satellite, Ahmedabad - GPCB",2/15/2012,2012,2,Feb,Winter,Ahmedabad,Gujarat,1,23.03,72.59,138.42,Moderate,Moderate,-1.71,70.66,78.05,35.51,88.78,115.41,14.13,4.18,57.46,139.45,3.53,4.95,2.12,O3,Yes,No,6.883,8.105,7.065,2798,1399,7555,1.24,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,2731,133,2655,5519,4,3496,4700463,1.5787,0.001174,31,No,6,72,13.76,Scenario-Base
"Satellite, Ahmedabad - GPCB",3/15/2012,2012,3,Mar,Summer,Ahmedabad,Gujarat,1,23.03,72.59,138.66,Moderate,Moderate,2.62,55.28,89.65,45.64,114.11,148.34,11.06,2.1,19.99,120.27,2.76,3.87,1.66,O3,No,No,4.863,5.281,8.076,2025,1012,5468,1.31,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,19918,92,2607,22617,4,3496,4700463,6.4694,0.004812,31,No,6,72,32.86,Scenario-Base
"Satellite, Ahmedabad - GPCB",4/15/2012,2012,4,Apr,Summer,Ahmedabad,Gujarat,1,23.03,72.59,132.71,Moderate,Moderate,0.58,78.03,93.68,46.74,116.85,151.91,15.61,2.7,41.36,161.11,3.9,5.46,2.34,O3,Yes,No,4.535,3.333,7.958,733,366,1979,1.47,Acceptable,River,Sabarmati,Yes,Yes,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,17806,1696,905,20407,4,3496,4700463,5.8372,0.004341,31,No,6,72,36.66,Scenario-Base
"Satellite, Ahmedabad - GPCB",5/15/2012,2012,5,May,Summer,Ahmedabad,Gujarat,1,23.03,72.59,137.45,Moderate,Moderate,3.69,77.63,94.95,45,112.51,146.26,15.53,1.53,11.99,145.39,3.88,5.43,2.33,O3,Yes,No,5.616,7.659,8.286,1392,696,3758,1.41,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,48646,1530,2848,53024,4,3496,4700463,15.167,0.011281,31,No,6,72,33.71,Scenario-Base
"Satellite, Ahmedabad - GPCB",6/15/2012,2012,6,Jun,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,135.61,Moderate,Moderate,4.01,56.38,88.03,39.72,99.29,129.08,11.28,2.34,10.61,147.17,2.82,3.95,1.69,O3,No,No,1.389,7.45,8.505,320,160,864,0.84,Good,River,Sabarmati,No,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,45978,867,170,47015,4,3496,4700463,13.4482,0.010002,31,No,6,72,28.51,Scenario-Base
"Satellite, Ahmedabad - GPCB",7/15/2012,2012,7,Jul,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,142.8,Moderate,Moderate,-3.37,60.5,78.96,14.53,36.33,47.23,12.1,2.17,62.73,60.59,3.03,4.24,1.81,PM10,Yes,No,3.18,9.011,7.796,262,131,707,0.76,Good,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,44508,1467,714,46689,4,3496,4700463,13.355,0.009933,31,No,6,72,29.11,Scenario-Base
"Satellite, Ahmedabad - GPCB",8/15/2012,2012,8,Aug,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,131.68,Moderate,Moderate,3.65,53.78,87.56,13.25,33.13,43.07,10.76,0.98,56.2,103.02,2.69,3.76,1.61,O3,No,No,5.447,7.184,7.982,2493,1246,6731,1.4,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,11343,712,1201,13256,4,3496,4700463,3.7918,0.00282,31,No,6,72,25.34,Scenario-Base
"Satellite, Ahmedabad - GPCB",9/15/2012,2012,9,Sep,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,134.02,Moderate,Moderate,1.72,72.1,88.78,26.08,65.2,84.76,14.42,0.55,38.72,127.46,3.6,5.05,2.16,O3,Yes,No,6.698,8.449,6.506,4178,2089,11281,1.57,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,43925,1343,907,46175,4,3496,4700463,13.208,0.009824,31,No,6,72,25.68,Scenario-Base
"Satellite, Ahmedabad - GPCB",10/15/2012,2012,10,Oct,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,139.14,Moderate,Moderate,-2.87,80.58,83.29,30.23,75.58,98.25,16.12,4.27,38.08,55.79,4.03,5.64,2.42,PM10,Yes,No,3.303,5.556,8.229,1692,846,4568,1.14,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,15143,1602,1224,17969,4,3496,4700463,5.1399,0.003823,31,No,6,72,23.22,Scenario-Base
"Satellite, Ahmedabad - GPCB",11/15/2012,2012,11,Nov,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,180.56,Moderate,Moderate,4.8,88.09,121.53,12.77,31.92,41.5,17.62,2.4,38.68,110.78,4.4,6.17,2.64,PM10,Yes,Yes,7.441,9.169,8.059,188,94,508,1.39,Acceptable,River,Sabarmati,Yes,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,6735,279,1641,8655,4,3496,4700463,2.4757,0.001841,31,No,6,72,21.75,Scenario-Base
"Satellite, Ahmedabad - GPCB",12/15/2012,2012,12,Dec,Winter,Ahmedabad,Gujarat,1,23.03,72.59,174.71,Moderate,Moderate,-3.28,66.6,113.7,35.36,88.4,114.92,13.32,2.29,27.54,25.27,3.33,4.66,2,PM10,Yes,Yes,1.465,6.069,6.518,3633,1816,9809,0.84,Good,River,Sabarmati,No,No,170115,144598,144598,0,Baseline,Pharmaceuticals,Chemical,7954,1793,2565,12312,4,3496,4700463,3.5217,0.002619,31,No,6,72,16.01,Scenario-Base
"Satellite, Ahmedabad - GPCB",1/15/2013,2013,1,Jan,Winter,Ahmedabad,Gujarat,1,23.03,72.59,174.18,Moderate,Moderate,2.48,77.12,97.69,45.74,114.34,148.64,15.42,2.23,8.72,163.08,3.86,5.4,2.31,O3,Yes,No,2.121,7.523,6.846,1552,776,4190,0.52,Good,River,Sabarmati,No,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,13525,141,456,14122,4,3522,4982491,4.0097,0.002834,31,No,6,72,16.84,Scenario-Base
"Satellite, Ahmedabad - GPCB",2/15/2013,2013,2,Feb,Winter,Ahmedabad,Gujarat,1,23.03,72.59,135.1,Moderate,Moderate,0.32,70.85,75.67,46.41,116.03,150.84,14.17,0.73,22.34,75.99,3.54,4.96,2.13,NO2,Yes,No,3.026,3.453,7.827,3935,1968,10624,1.6,Acceptable,River,Sabarmati,Yes,Yes,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,1103,1165,1972,4240,4,3522,4982491,1.2039,0.000851,31,No,6,72,15.07,Scenario-Base
"Satellite, Ahmedabad - GPCB",3/15/2013,2013,3,Mar,Summer,Ahmedabad,Gujarat,1,23.03,72.59,135.48,Moderate,Moderate,0.37,78.68,87.57,16.9,42.26,54.94,15.74,1.4,53.75,32.36,3.93,5.51,2.36,PM10,Yes,No,6.056,6.099,8.426,357,178,964,1.4,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,24492,539,1564,26595,4,3522,4982491,7.5511,0.005338,31,No,6,72,32.52,Scenario-Base
"Satellite, Ahmedabad - GPCB",4/15/2013,2013,4,Apr,Summer,Ahmedabad,Gujarat,1,23.03,72.59,142.04,Moderate,Moderate,-3.47,57.51,76.21,26.35,65.88,85.64,11.5,0.39,30.82,108.31,2.88,4.03,1.73,O3,No,No,4.186,9.198,8.118,3726,1863,10060,1.45,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,24482,995,2826,28303,4,3522,4982491,8.0361,0.00568,31,No,6,72,32.61,Scenario-Base
"Satellite, Ahmedabad - GPCB",5/15/2013,2013,5,May,Summer,Ahmedabad,Gujarat,1,23.03,72.59,133.35,Moderate,Moderate,1.69,72.92,75.63,22.21,55.52,72.18,14.58,0.75,36.05,154.24,3.65,5.1,2.19,O3,Yes,No,2.967,5.215,8.433,3367,1684,9091,1.39,Acceptable,River,Sabarmati,No,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,40487,255,1666,42408,4,3522,4982491,12.0409,0.008511,31,No,6,72,33.03,Scenario-Base
"Satellite, Ahmedabad - GPCB",6/15/2013,2013,6,Jun,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,139.08,Moderate,Moderate,1.11,73.22,98.16,40.66,101.64,132.13,14.64,3.33,11.27,26.45,3.66,5.13,2.2,NO2,Yes,No,3.772,5.475,7.021,4329,2164,11688,1.02,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,29731,324,1180,31235,4,3522,4982491,8.8685,0.006269,31,No,6,72,25.69,Scenario-Base
"Satellite, Ahmedabad - GPCB",7/15/2013,2013,7,Jul,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,138.61,Moderate,Moderate,0.96,53.21,87.83,18.89,47.22,61.39,10.64,3.85,28.43,150.02,2.66,3.72,1.6,O3,No,No,5.716,8.691,7.793,3192,1596,8618,1.44,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,5590,70,708,6368,4,3522,4982491,1.8081,0.001278,31,No,6,72,29.56,Scenario-Base
"Satellite, Ahmedabad - GPCB",8/15/2013,2013,8,Aug,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,131.39,Moderate,Moderate,2.95,69.44,97.61,14.24,35.61,46.29,13.89,3.85,16.9,72.66,3.47,4.86,2.08,PM10,Yes,No,7.864,8.733,7.205,2843,1422,7676,1.42,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,34306,1297,2928,38531,4,3522,4982491,10.9401,0.007733,31,No,6,72,25.84,Scenario-Base
"Satellite, Ahmedabad - GPCB",9/15/2013,2013,9,Sep,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,134.01,Moderate,Moderate,-1.99,63.17,95.11,28.83,72.08,93.7,12.63,0.98,44.38,141.61,3.16,4.42,1.9,O3,Yes,No,3.755,3.871,6.508,737,368,1990,1.05,Acceptable,River,Sabarmati,Yes,Yes,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,34829,1510,233,36572,4,3522,4982491,10.3839,0.00734,31,No,6,72,27.78,Scenario-Base
"Satellite, Ahmedabad - GPCB",10/15/2013,2013,10,Oct,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,131.89,Moderate,Moderate,2.94,58.03,106.08,22.22,55.54,72.2,11.61,2.06,71.53,92.43,2.9,4.06,1.74,PM10,No,Yes,7.164,9.078,6.596,3288,1644,8878,1.47,Acceptable,River,Sabarmati,Yes,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,23954,1101,684,25739,4,3522,4982491,7.3081,0.005166,31,No,6,72,19.84,Scenario-Base
"Satellite, Ahmedabad - GPCB",11/15/2013,2013,11,Nov,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,180.36,Moderate,Moderate,3.21,108.95,107.58,10.08,25.19,32.75,21.79,4.31,57.2,51.25,5.45,7.63,3.27,PM2.5,Yes,Yes,4.207,3.395,7.156,4096,2048,11059,1.5,Acceptable,River,Sabarmati,Yes,Yes,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,44196,507,1687,46390,4,3522,4982491,13.1715,0.009311,31,No,6,72,21.05,Scenario-Base
"Satellite, Ahmedabad - GPCB",12/15/2013,2013,12,Dec,Winter,Ahmedabad,Gujarat,1,23.03,72.59,178.77,Moderate,Moderate,-1.54,97.21,95.12,13.02,32.56,42.33,19.44,0.85,7.19,38.89,4.86,6.8,2.92,PM2.5,Yes,No,1.231,5.783,7.342,1577,788,4258,0.49,Good,River,Sabarmati,No,No,171829,146055,146055,0,Baseline,Pharmaceuticals,Chemical,16593,1097,2433,20123,4,3522,4982491,5.7135,0.004039,31,No,6,72,13.51,Scenario-Base
