id,Station_Name,Date,Year,Month,Month_Name,Season,City,State,City_Tier,Latitude,Longitude,AQI,AQI_Bucket,AQI_Risk_Level,AQI_Improvement_Rate,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Prominent_Pollutant,PM25_Standard_Exceeded,PM10_Standard_Exceeded,BOD,DO,pH,Coliform_Count,Fecal_Coliform,Total_Coliform,Water_Contamination_Index,Water_Quality_Status,Water_Body_Type,River_Name,BOD_Standard_Exceeded,DO_Standard_Below,All_Vehicles,Vehicular_Emission,Adjusted_Vehicular_Emission,Veh_Reduction_Pct,Vehicular_Emission_Reduction_Scenario,Industry_Name,Industry_Sector,CO2_Emissions,SO2_Emissions,NOx_Emissions,Total_Industrial_Emission,Industry_Emission_Rank,Population_Density,GDP_Cr,Pollution_per_Capita,Pollution_vs_GDP_Ratio,Public_Transport_Usage_Percent,NCAP_Flag,River_Pollution_Rank,Relative_Humidity_Pct,Temperature_C
33254,"Satellite, Ahmedabad - Gpcb",2016-01-11,2016,1.0,Jan,Winter,Ahmedabad,Gujarat,1.0,23.03,72.59,483.0,Severe,Critical,6.465,76.38,97.0,20.06,52.88,37.58,16.27,20.06,10.78,32.47,2.75,31.14,2.52,Pm10,No,No,4.91,7.46,7.725,52.0,25.0,1384.5,1.725,Acceptable,River,Yamuna,No,No,4910648.5,4510822.5,4910648.5,0.0,Baseline,Pharmaceuticals,Chemical,197114.5,321.5,645.5,197988.5,4.0,10302.0,1938507.5,19.22,0.0331965,40.5,No,4.0,123.03,23.15
13860,"Alandur, Chennai - Tnpcb",2015-04-18,2015,6.0,Apr,Summer,Chennai,Tamil Nadu,1.0,13.08,80.27,152.0,Moderate,Moderate,-4.16,73.33,177.96,10.84,23.99,19.72,10.07,0.98,3.82,27.81,0.28,0.71,1.03,Pm10,No,Yes,13.72,2.61,7.51,16075.0,1702.0,1971.0,4.77,Severely Polluted,River,Cooum,Yes,Yes,5300867.0,4715209.0,5300867.0,20.0,Baseline,Automobile,Manufacturing,98741.0,197.0,164.0,99102.0,4.0,28333.0,17412839.0,3.48,0.031603,40.0,No,7.0,65.0,25.4
23376,"Bandra, Mumbai - Mpcb",2019-05-17,2019,5.0,May,Summer,Gurugram,Haryana,1.0,28.46,77.03,227.0,Poor,High,1.58,94.42,97.0,26.94,21.48,41.11,20.07,0.53,11.12,32.47,1.11,0.0,2.31,Pm10,Yes,Yes,2.33,3.61,7.73,11825.0,6802.0,16546.0,3.13,Acceptable,River,Sahibi,No,Yes,727537.0,179076.0,170122.199999999,0.0,Baseline,Automobile,Automobile,789123.0,97347.0,50557.0,937027.0,13.0,11664.0,2442473.0,0.6247,0.0,27.0,No,13.0,60.0,24.4
9501,"Bandra, Mumbai - Mpcb",2015-08-12,2015,8.0,Aug,Monsooon,Ahmedabad,Gujarat,1.0,22.57,72.59,179.0,Moderate,Moderate,-0.88,53.08,139.31,7.47,20.2,27.68,16.27,7.47,11.73,19.8,1.82,2.85,0.17,Pm10,No,Yes,2.84,4.9,8.12,56.0,25.0,2833.0,2.67,Moderately Polluted,River,Sabarmati,No,No,4591635.0,4074573.0,4591635.0,0.0,Baseline,Pharmaceuticals,Chemical,197498.0,514.0,568.0,252332.0,5.0,10327.0,5665999.0,24.64,0.045073,37.0,No,6.0,76.0,25.9
23608,"Pan Bazar, Guwahati - Apcb",2019-04-23,2019,4.0,Apr,Summr,Guwahati,Assam,2.0,26.14,78.49,95.0,Satisfactory,Low,9.94,56.03,88.14,25.1,22.46,65.24,16.27,0.98,17.64,46.95,2.4,2.55,1.03,Pm10,No,No,3.48,6.565,7.03,3596.0,498.5,2873.5,2.895,Moderately Polluted,River,Brahmaputra,Yes,No,1806247.0,1562923.0,1806247.0,10.0,Vehicular Reduction 20%,Oil Refinery,Agro-Industry,254229.0,520.0,585.0,255211.0,8.5,1552.0,206196.5,164.44,1.278216,26.5,No,8.0,60.0,25.7
6939,"Sector 22, Chandigarh - Cpcb",2020-05-02,2020,5.0,May,Summr,Chandigarh,Chandigarh,2.0,30.74,76.79,64.0,Moderate,Low,-5.25,19.81,64.91,0.87,9.84,26.0,26.22,0.45,12.38,19.61,2.77,0.4,0.8,Pm10,No,No,4.51,5.31,7.61,30853.0,6712.0,3471.0,3.98,Heavily Polluted,River,Sukhna,Yes,No,1961869.0,1794472.0,1961869.0,0.0,Vehicular Reduction 20%,Light Manufacturing,Manufacturing,201613.0,150.0,318.0,202502.0,6.0,10579.0,1280554.0,19.0,0.031603,38.0,No,7.0,53.0,18.4
18476,"Bollaram, Hyderabad - Tspcb",2019-06-17,2019,6.0,Jun,Monsoon,Hyderabad,Telangana,1.0,17.39,78.49,123.0,Satisfactory,Low,-4.65,23.78,73.19,1.95,12.02,7.2,13.91,0.32,5.56,22.92,0.25,1.78,0.16,Pm10,No,No,10.275,2.76,8.815,424.0,25.0,282690.5,4.22,Heavily Polluted,River,Musi,Yes,Yes,8555858.0,7172887.5,6844686.0,0.0,Vehicular Reduction 20%,Pharma/Chemical,Chemical,227235.0,538.0,365.0,228138.0,3.0,20740.0,8601201.5,12.6789,0.026553,40.0,Yes,6.0,60.0,26.65
391,"Vikas Sadan, Gurugram - Hspcb",2019-05-29,2019,5.0,May,Monsoon,Gurugram,Tamil Nadu,1.0,28.46,77.03,157.0,Moderate,Moderate,-3.99,80.45,97.0,32.32,44.55,58.69,20.07,0.58,10.78,63.14,0.0,0.0,2.31,Pm10,Yes,Yes,2.45,5.7,8.43,6782.0,3078.0,1526.0,3.21,Acceptable,River,Sahibi,No,No,2658674.5,207164.0,196805.8,0.0,Baseline,Automobile,Automobile,678185.0,77229.0,70547.0,825961.0,22.0,289243.0,1543373.0,0.5506,0.0,61.0,No,10.0,43.0,25.9
14351,"Bandra, Mumbai - Mpcb",2019-03-05,2019,3.0,Mar,Summer,Visakhapatnam,Andhra Pradesh,1.0,22.57,83.22,92.0,Satisfactory,Low,-1.2,53.08,569.43,11.92,26.61,23.91,15.04,0.67,11.33,32.47,1.54,2.93,0.55,Pm10,No,No,4.91,5.3,7.52,267.0,33.0,10.0,3.605,Moderately Polluted,River,Gosthani,Yes,No,2619212.5,2356559.0,2619212.5,0.0,Vehicular Reduction 20%,Steel/Port,Manufacturing,174206.5,333.0,623.0,174923.5,2.5,573.0,186288.0,305.555,0.9791175,39.5,No,9.5,47.0,25.9
11327,"Anand Vihar, Delhi - Dpcc",2017-10-20,2017,10.0,Oct,Monsoon,Delhi,Delhi,1.0,28.61,77.21,497.0,Severe,Critical,-2.57,426.52,387.13,56.28,54.76,47.28,48.79,1.06,36.85,41.14,1.11,5.54,0.07,Pm2.5,Yes,Yes,29.54,1.93,7.36,1600000.0,900000.0,2085.5,5.615,Severely Polluted,River,Yamuna,Yes,Yes,13732330.0,11199333.0,13732330.0,0.0,Baseline,Mixed Industrial,Manufacturing,223359.0,312.0,563.0,224290.5,7.5,11664.0,3002818.0,12.6789,0.075822,61.0,No,7.5,57.5,25.9
33881,"Bandra, Mumbai - Mpcb",2020-05-14,2020,5.0,May,Summer,Mumbai,Maharashtra,1.0,19.08,72.88,123.0,Satisfctory,Low,9.89,15.23,56.14,21.05,23.99,29.15,2.91,0.29,10.78,15.53,2.3,0.0,0.0,Pm10,No,No,4.91,4.51,7.39,188.0,58.0,303.0,3.68,Heavily Polluted,River,Ulhas,Yes,No,11963058.0,2412065.0,9570446.0,0.0,Baseline,Automobile,Manufacturing,224053.0,306.0,501.0,224860.0,5.0,22885.0,24469465.0,9.43,0.009189,51.0,Yes,2.0,53.0,27.3
27767,"Bandra, Mumbai - Mpcb",2017-07-29,2017,7.0,Jul,Monsooon,Amritsar,Punjab,2.0,31.63,74.87,81.0,Moderate,Low,3.74,47.12,56.49,48.94,23.99,19.19,4.91,0.0,6.01,8.31,4.2,2.08,1.03,Pm10,No,No,2.93,7.1,7.88,265.0,132.0,6072.0,2.36,Acceptable,River,Beas,No,No,1887855.0,1868674.0,1887855.0,0.0,Baseline,Textiles,Manufacturing,197498.0,420.0,623.0,229351.0,5.0,11664.0,766412.0,49.9,0.299253,27.0,No,2.0,60.0,25.9
982,"Bandra, Mumbai - Mpcb",2019-01-12,2019,1.0,Jan,Monsoon,Delhi,Delhi,1.0,28.61,77.21,482.0,Severe,Critical,2.42,311.03,465.89,117.23,85.14,148.93,63.46,3.11,17.81,39.78,10.49,73.27,1.54,Pm10,Yes,Yes,29.44,1.73,7.35,3596.0,900000.0,2946.0,5.65,Severely Polluted,River,Yamuna,No,Yes,2658674.5,13762212.0,12213749.0,0.0,Vehicular Reduction 20%,Mixed Industrial,Manufacturing,197084.0,447.0,379.0,197810.0,5.0,12629.0,3201164.0,15.37,0.064043,55.0,Yes,6.0,48.0,18.4
31376,"Btm Layout, Bengaluru - Kspcb",2018-03-01,2018,3.0,Mar,Summer,Ahmedabad,Karnataka,1.0,12.97,77.59,83.0,Satisfactory,Low,-0.35,29.48,97.0,4.8,23.99,20.33,21.5,0.98,3.09,32.47,0.53,0.92,1.03,Pm10,No,No,5.6,4.9,7.498,6080.0,2969.0,2708.0,3.91,Heavily Polluted,River,Arkavathi,Yes,Yes,8499009.0,7458218.0,2559808.0,0.0,Baseline,IT/Electronics,Agro-Industry,224613.0,420.0,623.0,225443.0,5.0,11664.0,3214242.0,46.78,0.031603,54.0,No,3.0,83.0,26.9
4395,"Kowdiar, Thiruvananthapuram - Kspcb",2018-08-07,2018,8.0,May,Monsooon,Thiruvananthapuram,Kerala,2.0,8.52,76.94,63.0,Satisfctory,Low,-1.11,9.51,30.15,2.95,5.07,4.6,1.8,1.05,5.95,30.42,0.97,2.55,1.03,O3,No,No,2.2,7.37,7.08,3596.0,1615.0,2708.0,2.34,Acceptable,River,Karamana,No,No,451878.0,57365.0,54496.75,0.0,Baseline,IT/Electronics,It/Electronics,276558.0,34613.0,25490.0,202502.0,15.0,11664.0,633098.0,0.198,0.0,18.0,No,13.0,86.0,23.6
21575,"Kowdiar, Thiruvananthapuram - Kspcb",2017-07-10,2017,7.0,Jul,Monsoon,Thiruvananthapuram,Tamil Nadu,2.0,8.52,76.94,47.0,Good,Low,2.1,15.94,31.78,1.92,7.1,5.31,1.92,0.68,4.36,17.31,0.97,2.55,1.03,Pm10,No,No,2.92,7.54,7.498,7529.0,5949.0,16012.0,2.88,Acceptable,River,Karamana,No,No,747244.0,2412065.0,67648.55,0.0,Baseline,IT/Electronics,It/Electronics,277178.0,22948.0,18228.0,318354.0,21.0,241416.0,1938507.5,0.1873,0.0,20.0,No,15.0,81.0,24.3
25049,"Alandur, Chennai - Tnpcb",2016-08-27,2018,8.0,Aug,Monsoon,Chennai,Tamil Nadu,1.0,13.08,80.27,188.0,Moderate,Moderate,4.89,32.14,33.33,7.65,23.99,15.43,36.99,0.95,5.16,10.76,1.31,4.27,1.03,Pm10,No,No,14.6,4.9,7.17,9167.0,1666.0,1808.0,4.8,Severely Polluted,River,Cooum,Yes,Yes,5847733.0,2412065.0,5847733.0,0.0,Baseline,Automobile,Manufacturing,197498.0,307.0,362.0,139589.0,4.0,28356.5,17593359.0,5.005,0.0077845,40.0,No,8.0,50.5,29.95
29651,"Bandra, Mumbai - Mpcb",2021-01-15,2021,6.0,Jan,Winte,Bhopal,Madhya Pradesh,2.0,23.26,78.49,167.68,Moderate,Moderate,4.93,53.08,96.99,33.68,84.21,109.47,14.77,0.75,41.68,160.91,1.11,5.17,2.21,O3,Yes,No,4.91,4.9,8.309,2399.0,1200.0,6477.0,1.34,Acceptable,River,Yamuna,No,No,36121.0,30703.0,30703.0,0.0,Baseline,Automobile,Manufacturing,36313.0,1144.0,2738.0,40195.0,6.0,11453.0,564766.0,3.5096,0.031603,39.0,Yes,5.0,48.0,25.9
2791,"Bandra, Mumbai - Mpcb",2015-03-15,2018,3.0,Mar,Monsoon,Delhi,Delhi,1.0,28.61,77.21,165.0,Moderate,Moderate,4.64,38.89,46.68,11.63,23.99,21.45,30.59,8.23,10.78,22.0,1.03,2.55,1.38,Pm10,No,No,29.54,1.81,7.43,3596.0,900000.0,2239.0,3.605,Severely Polluted,River,Yamuna,Yes,Yes,11390043.0,9714619.0,11390043.0,0.0,Baseline,Mixed Industrial,Manufacturing,89441.0,202.0,271.0,89914.0,7.0,12201.0,2592860.0,7.34,0.03547,53.0,No,6.0,51.0,27.4
12342,"Bollaram, Hyderabad - Tspcb",2019-12-29,2019,12.0,Dec,Monsoon,Hyderabad,Telangana,1.0,17.39,78.49,123.0,Moderate,Moderate,-1.97,80.23,149.05,11.11,44.53,31.18,13.85,0.98,10.78,32.47,0.84,4.6,1.03,Pm10,Yes,Yes,4.91,2.9,7.498,282.5,25.0,826219.0,3.79,Heavily Polluted,River,Musi,Yes,Yes,2658674.5,7235529.0,2559808.0,0.0,Vehicular Reduction 20%,Pharma/Chemical,Manufacturing,204422.0,484.5,298.5,205205.0,2.0,20837.0,8601201.5,9.945,0.0236555,26.0,Yes,7.5,51.5,18.75
28049,"Kowdiar, Thiruvananthapuram - Kspcb",2018-07-17,2018,7.0,Jul,Monsooon,Thiruvananthapuram,Kerala,2.0,8.52,76.94,123.0,Good,Low,-1.47,53.08,27.05,2.97,23.99,5.03,16.27,0.62,5.61,34.97,0.97,2.55,1.03,O3,No,No,1.3,7.11,7.04,8513.0,2247.0,11642.0,2.32,Acceptable,River,Karamana,No,No,571049.0,40718.0,38682.1,0.0,Baseline,IT/Electronics,It/Electronics,230668.0,20873.0,27428.0,278969.0,21.0,230036.0,521822.0,0.1641,0.0,40.0,No,24.0,80.0,27.5
19105,"Sector 22, Chandigarh - Cpcb",2020-03-10,2020,3.0,Mar,Summmer,Chandigarh,Chandigarh,2.0,22.57,76.79,69.0,Satisfactory,Low,-3.13,53.08,97.0,11.63,18.13,15.51,64.07,0.6,9.69,12.53,4.58,2.53,1.23,Pm10,No,No,5.47,4.94,7.405,44965.5,7480.0,2708.0,4.125,Severely Polluted,River,Sukhna,Yes,No,2658674.5,1794472.0,2559808.0,0.0,Vehicular Reduction 20%,Light Manufacturing,Manufacturing,208185.0,150.0,318.0,208863.5,6.0,10478.0,1213289.5,19.8,0.171539,35.0,No,4.0,50.5,21.9
5679,"Bandra, Mumbai - Mpcb",2013-09-15,2013,9.0,Sep,Monsoon,Gurugram,Haryana,1.0,28.46,78.49,123.0,Moderate,Moderate,-3.08,72.38,91.73,39.98,99.94,129.92,14.48,3.17,10.78,98.91,3.62,5.07,2.17,No2,No,No,4.91,5.014,6.945,3772.0,1886.0,10184.0,0.8,Good,River,Sahibi,No,No,26034.0,22129.0,22129.0,0.0,Baseline,Automobile,Automobile,24855.0,755.0,2212.0,27822.0,5.0,5094.0,2424815.0,5.4617,0.011474,16.0,No,2.0,60.0,25.12
27911,"Town Hall, Amritsar - Ppcb",2018-03-14,2018,6.0,Mar,Summer,Amritsar,Punjab,2.0,22.57,74.87,125.0,Modrate,Moderate,4.345,53.08,138.73,11.93,8.52,20.46,9.31,0.98,3.09,31.63,4.12,1.3,0.95,Pm10,No,Yes,2.1,9.52,7.705,398.0,199.0,877.5,3.605,Acceptable,River,Beas,No,No,2076120.0,1942771.0,2076120.0,0.0,Baseline,Textiles,Agro-Industry,262997.5,545.0,916.0,264385.5,1.5,4610.5,859516.0,57.405,0.305829,26.0,No,4.0,49.0,21.825
20571,"Vikas Sadan, Gurugram - Hspcb",2018-08-05,2018,8.0,May,Monsoon,Gurugram,Haryana,1.0,22.57,77.03,123.0,Very Poor,Critical,2.18,155.55,66.42,8.66,24.98,22.3,20.07,0.0,10.78,16.13,0.05,4.37,2.72,Pm2.5,Yes,No,4.0,4.17,7.28,3596.0,6238.0,11008.0,4.0,Acceptable,River,Sahibi,Yes,No,830780.0,114944.0,109196.8,0.0,Baseline,Automobile,Automobile,618737.0,79329.0,39187.0,737253.0,23.0,11664.0,1944619.0,0.4915,0.0,24.0,No,1.0,60.0,37.7
6780,"Satellite, Ahmedabad - Gpcb",2018-02-25,2018,2.0,Feb,Winter,Ahmedabad,Gujarat,1.0,23.03,72.59,497.5,Severre,Critical,1.365,38.82,136.6,11.63,125.35,81.9,16.27,27.81,91.52,32.47,7.73,2.55,16.33,Pm10,No,Yes,2.45,7.895,7.765,50.0,25.0,1534.0,1.84,Acceptable,River,Sabarmati,No,No,2658674.5,5199247.5,5999735.5,0.0,Baseline,Pharmaceuticals,Chemical,154371.0,248.0,353.0,155154.0,3.0,11664.0,6401748.5,14.37,0.02422,43.0,No,2.0,54.5,23.2
6113,"Igsc Planetarium, Patna - Bspcb",2018-03-17,2018,3.0,Mar,Summer,Patna,Bihar,1.0,25.59,85.14,247.0,Poor,High,8.01,87.24,134.29,8.46,23.99,26.0,20.07,1.42,48.51,70.38,0.34,2.76,1.03,Pm10,Yes,Yes,5.15,4.91,7.498,21929.0,10964.0,10.0,4.06,Heavily Polluted,River,Yamuna,Yes,No,2559808.0,2247238.0,2559808.0,0.0,Baseline,Brick Kiln,Agro-Industry,235007.0,310.0,827.0,236144.0,6.0,1970.0,460019.0,119.87,0.509657,40.0,No,5.0,49.0,30.7
11271,"Eloor, Ernakulam - Kspcb",2020-05-05,2020,6.0,May,Summmer,Ernakulam,Kerala,2.0,9.98,76.3,99.0,Satisfactory,Low,1.9,24.34,51.54,7.53,2.2,6.78,23.75,1.92,10.78,30.05,0.13,0.33,0.03,Pm10,No,No,1.22,5.5,7.27,3596.0,6943.0,13760.0,2.58,Acceptable,River,Periyar,No,No,517748.0,41895.0,39800.25,0.0,Baseline,Shipping/Refinery,Shipping/Refinery,371431.0,18652.0,20858.0,410941.0,20.0,191385.0,965330.0,0.3425,0.0,40.0,No,3.0,87.0,25.9
9498,"Bandra, Mumbai - Mpcb",2016-12-08,2018,12.0,Dec,Monsoon,Delhi,Delhi,1.0,28.61,77.21,422.0,Moderate,Critical,5.4,238.21,374.88,11.63,72.44,52.25,36.31,1.53,10.78,36.02,7.67,15.66,0.61,Pm10,Yes,Yes,29.44,1.05,7.37,1600000.0,900000.0,3332.0,5.79,Severely Polluted,River,Yamuna,Yes,Yes,11696640.0,10121852.0,11696640.0,0.0,Baseline,Mixed Industrial,Manufacturing,274853.0,339.0,623.0,275684.0,7.0,11664.0,2974390.0,22.1,0.031603,49.0,No,7.0,57.0,28.2
