State,City,Year,Avg_AQI,Std_AQI,Avg_Water,Avg_Emission
Andhra Pradesh,Visakhapatnam,2022,198.9915,18.4947,1.1331,32907.9375
Andhra Pradesh,Visakhapatnam,2023,211.3975,18.9475,1.3946,36308.9792
Andhra Pradesh,Visakhapatnam,2024,205.1206,18.912,1.0534,21732.1458
Andhra Pradesh,Visakhapatnam,2025,203.27,18.3299,1.2648,28204.75
Assam,Guwahati,2010,193.1417,17.5745,1.2938,28106.3125
Assam,Guwahati,2011,195.5254,22.2841,1.2306,25505.2292
Assam,Guwahati,2012,197.0004,19.5146,1.1362,28673.2916
Assam,Guwahati,2013,199.6977,20.1693,1.3948,30476.125
Assam,Guwahati,2014,201.0338,16.3124,1.276,20806.6042
Assam,Guwahati,2015,208.174,21.1039,1.1664,30764.3334
Assam,Guwahati,2016,201.5302,21.4907,1.3069,32684.7292
Assam,Guwahati,2017,204.6625,20.563,1.3062,28675.4167
Assam,Guwahati,2018,208.6427,18.5357,1.0652,30321.625
Assam,Guwahati,2019,142.2054,67.5629,3.2191,553377.9281
Assam,Guwahati,2020,180.1607,94.0301,2.84,352725.5452
Assam,Guwahati,2021,208.9388,19.7162,1.2902,36168.8125
Assam,Guwahati,2022,216.5869,20.8969,1.1594,27067.3958
Assam,Guwahati,2023,220.8058,18.7559,1.1106,32557.2917
Assam,Guwahati,2024,216.1798,21.9305,1.1142,28240.6042
Assam,Guwahati,2025,215.5558,18.9481,1.3656,37624.4375
Bihar,Patna,2010,135.0431,12.5584,1.2079,29281.1875
Bihar,Patna,2011,137.649,14.5681,1.1967,33347.4167
Bihar,Patna,2012,136.7033,10.8879,1.3906,26631.8542
Bihar,Patna,2013,140.8492,11.1825,1.4888,27926.8125
Bihar,Patna,2014,141.0444,14.0455,1.2871,33171.9792
Bihar,Patna,2015,226.4341,130.08,3.5034,179718.1869
Bihar,Patna,2016,262.3956,118.0384,3.9576,239753.3771
Bihar,Patna,2017,260.3452,97.6169,3.9266,235380.0
Bihar,Patna,2018,256.9563,120.451,4.19,256667.8523
Bihar,Patna,2019,218.9727,121.1881,4.2521,261551.7143
Bihar,Patna,2020,146.8969,45.9257,3.3013,393720.8755
Bihar,Patna,2021,163.0912,15.8334,1.2848,31255.875
Bihar,Patna,2022,156.1623,15.0555,1.4829,25759.8333
Bihar,Patna,2023,160.3298,14.0386,1.3244,27926.4792
Bihar,Patna,2024,158.2685,16.5777,1.2246,34222.6875
Bihar,Patna,2025,170.286,14.6205,1.3425,35753.4167
Chandigarh,Chandigarh,2010,114.6012,10.323,1.3794,25088.4375
Chandigarh,Chandigarh,2011,112.8119,8.4949,1.0483,30490.1875
Chandigarh,Chandigarh,2012,115.426,10.5821,1.2288,34271.125
Chandigarh,Chandigarh,2013,115.7114,14.4532,1.3052,27755.8333
Chandigarh,Chandigarh,2014,119.9754,10.908,1.3917,28051.4792
Chandigarh,Chandigarh,2015,115.871,8.8466,1.2594,25789.6667
Chandigarh,Chandigarh,2016,120.0852,11.253,1.2658,28092.6666
Chandigarh,Chandigarh,2017,124.7675,14.7707,0.9462,34070.5417
Chandigarh,Chandigarh,2018,119.1523,12.0808,1.0388,29163.6042
Chandigarh,Chandigarh,2019,123.642,29.0805,3.3469,127735.1173
Chandigarh,Chandigarh,2020,88.6612,32.7076,3.4442,158554.2519
Chandigarh,Chandigarh,2021,128.02,11.9434,1.1246,27469.6875
Chandigarh,Chandigarh,2022,129.725,12.3259,1.1706,34843.4375
Chandigarh,Chandigarh,2023,126.4046,15.877,1.2004,22226.2916
Chandigarh,Chandigarh,2024,130.5073,11.0547,1.2981,32067.9792
Chandigarh,Chandigarh,2025,141.7219,14.988,1.3502,27713.25
Delhi,Delhi,2010,200.3444,17.1503,1.3898,21503.75
Delhi,Delhi,2011,200.0244,20.008,1.1511,27405.25
Delhi,Delhi,2012,200.6756,21.3873,1.2298,30831.3958
Delhi,Delhi,2013,198.4367,14.5855,1.2535,25801.1458
Delhi,Delhi,2014,205.8723,17.3559,1.195,37383.625
Delhi,Delhi,2015,308.796,61.1677,5.6759,216726.4593
Delhi,Delhi,2016,321.8768,114.4079,5.6866,297876.9003
Delhi,Delhi,2017,273.9012,116.58,5.6512,244250.8464
Delhi,Delhi,2018,264.8617,93.2886,5.6715,253968.8605
Delhi,Delhi,2019,246.3314,86.9458,5.6588,197088.6348
Delhi,Delhi,2020,193.1404,75.5321,4.4755,171212.4436
Delhi,Delhi,2021,211.6266,17.484,1.1908,36862.8125
Delhi,Delhi,2022,222.6273,23.3937,1.1935,26369.7708
Delhi,Delhi,2023,221.9131,25.7801,1.2544,25589.8542
Delhi,Delhi,2024,229.8144,17.1205,1.1508,28685.6875
Delhi,Delhi,2025,232.3133,20.0268,1.2208,27258.2708
Gujarat,Ahmedabad,2010,142.3517,15.6438,1.3348,32026.6875
Gujarat,Ahmedabad,2011,145.3829,11.4665,1.1554,25266.5208
Gujarat,Ahmedabad,2012,148.3527,14.1021,1.1952,22937.7708
Gujarat,Ahmedabad,2013,147.8844,13.5773,1.2502,27376.1666
Gujarat,Ahmedabad,2014,151.2819,15.9124,1.1792,35736.4167
Gujarat,Ahmedabad,2015,335.9036,135.755,2.2741,244985.5036
Gujarat,Ahmedabad,2016,376.4856,72.818,2.016,195693.9718
Gujarat,Ahmedabad,2017,437.7914,130.8566,2.0321,212761.0882
Gujarat,Ahmedabad,2018,646.1284,161.6401,1.9746,141719.2935
Gujarat,Ahmedabad,2019,515.4144,36.1949,2.063,185075.4783
Gujarat,Ahmedabad,2020,265.4286,169.2274,1.8577,179091.4736
Gujarat,Ahmedabad,2021,161.0908,15.2054,1.019,18248.875
Gujarat,Ahmedabad,2022,158.8863,15.2192,1.2898,24860.5625
Gujarat,Ahmedabad,2023,173.6096,16.4899,1.4133,24259.4583
Gujarat,Ahmedabad,2024,180.4352,18.8805,1.1704,25255.7083
Gujarat,Ahmedabad,2025,187.2754,17.2719,1.1504,31586.2708
Haryana,Gurugram,2010,131.38,13.1126,1.1514,18280.2708
Haryana,Gurugram,2011,133.1912,11.5121,1.4054,27397.2083
Haryana,Gurugram,2012,135.104,14.5215,1.2025,26707.875
Haryana,Gurugram,2013,140.0486,11.1761,1.2231,26598.375
Haryana,Gurugram,2014,139.8962,14.7872,0.969,22963.2083
Haryana,Gurugram,2015,217.9527,104.551,2.2209,344001.9947
Haryana,Gurugram,2016,233.1676,85.2942,3.5351,784111.6861
Haryana,Gurugram,2017,283.159,53.0646,3.449,763974.8084
Haryana,Gurugram,2018,244.86,79.282,3.4835,793364.6669
Haryana,Gurugram,2019,207.5942,67.9016,3.4819,787129.3481
Haryana,Gurugram,2020,159.9109,42.2622,3.0044,571258.4482
Haryana,Gurugram,2021,153.0038,15.981,1.5117,25580.7292
Haryana,Gurugram,2022,156.6214,14.194,1.1977,28260.4375
Haryana,Gurugram,2023,153.1654,14.2192,1.3306,28391.4375
Haryana,Gurugram,2024,168.8123,15.5443,1.3727,25519.4167
Haryana,Gurugram,2025,166.8788,14.9028,1.2273,30994.4375
Jharkhand,Jorapokhar,2010,160.0248,14.7165,1.1425,28469.1042
Jharkhand,Jorapokhar,2011,162.3683,17.1625,1.261,28358.9167
Jharkhand,Jorapokhar,2012,163.6733,14.877,1.1217,31565.0833
Jharkhand,Jorapokhar,2013,165.926,15.6537,1.311,22651.1875
Jharkhand,Jorapokhar,2014,172.5702,17.4142,1.2056,25251.75
Jharkhand,Jorapokhar,2015,165.9216,15.1978,1.0852,27308.8125
Jharkhand,Jorapokhar,2016,173.7231,15.3958,1.2246,35019.5834
Jharkhand,Jorapokhar,2017,152.8071,48.1104,4.8795,1229736.0804
Jharkhand,Jorapokhar,2018,177.7683,74.3726,5.0147,1253627.2711
Jharkhand,Jorapokhar,2019,155.1946,57.5956,5.0224,1236996.1648
Jharkhand,Jorapokhar,2020,156.9707,24.9278,4.0711,924020.7639
Jharkhand,Jorapokhar,2021,188.4406,19.2243,1.2494,24858.5834
Jharkhand,Jorapokhar,2022,181.9056,15.5217,1.2914,26247.9375
Jharkhand,Jorapokhar,2023,182.4112,17.7718,1.1819,24360.0833
Jharkhand,Jorapokhar,2024,187.3714,16.3892,1.3135,24160.0
Jharkhand,Jorapokhar,2025,187.0404,17.0122,1.3129,29330.0208
Karnataka,Bengaluru,2010,98.8488,11.1552,1.0531,28410.125
Karnataka,Bengaluru,2011,100.5004,9.3827,1.2519,23048.6458
Karnataka,Bengaluru,2012,101.61,10.6044,1.0704,31707.9583
Karnataka,Bengaluru,2013,104.3346,9.3469,1.1417,20829.2292
Karnataka,Bengaluru,2014,102.3696,9.6747,1.0942,28305.7084
Karnataka,Bengaluru,2015,105.4766,14.4146,4.1508,430759.9037
Karnataka,Bengaluru,2016,106.4925,28.9238,4.2136,190757.8331
Karnataka,Bengaluru,2017,89.8903,16.9,3.9876,394639.9052
Karnataka,Bengaluru,2018,88.4959,16.3235,4.1799,326962.4581
Karnataka,Bengaluru,2019,88.1852,20.3327,4.2432,300103.4676
Karnataka,Bengaluru,2020,86.5343,21.2191,3.3866,194689.474
Karnataka,Bengaluru,2021,111.6046,11.0046,1.1936,34951.6458
Karnataka,Bengaluru,2022,114.0396,9.8042,1.3096,24817.1458
Karnataka,Bengaluru,2023,122.1236,10.8417,0.9373,31919.875
Karnataka,Bengaluru,2024,131.4854,13.2497,1.3423,27402.5417
Karnataka,Bengaluru,2025,136.0142,14.2666,1.1396,25968.4375
Kerala,Ernakulam,2010,210.0462,20.2424,1.425,23439.9792
Kerala,Ernakulam,2011,214.4242,20.7255,1.2825,24349.375
Kerala,Ernakulam,2012,214.8688,13.3585,1.2831,22681.7292
Kerala,Ernakulam,2013,215.2536,18.1622,1.1719,25246.5625
Kerala,Ernakulam,2014,214.2506,19.0841,1.2865,29254.8334
Kerala,Ernakulam,2015,217.7214,17.8314,1.2185,22608.2292
Kerala,Ernakulam,2016,217.5854,19.2851,0.941,29665.7916
Kerala,Ernakulam,2017,225.97,21.0732,1.2192,33975.0417
Kerala,Ernakulam,2018,221.8762,20.6347,1.1362,21686.1458
Kerala,Ernakulam,2019,231.0756,19.8446,1.341,27990.8125
Kerala,Ernakulam,2020,134.6971,66.4316,2.0798,246217.0793
Kerala,Ernakulam,2021,231.4375,20.0867,1.4921,25143.0
Kerala,Ernakulam,2022,225.4914,22.262,1.2165,18516.9375
Kerala,Ernakulam,2023,232.0225,25.2881,1.3673,28457.8958
Kerala,Ernakulam,2024,240.534,26.6101,1.4994,26884.7083
Kerala,Ernakulam,2025,239.3852,26.2189,1.1631,30522.9584
Kerala,Kochi,2010,234.2231,22.3552,1.434,23439.9792
Kerala,Kochi,2011,236.3631,25.5135,1.2808,24349.375
Kerala,Kochi,2012,239.1908,22.1603,1.279,22681.7292
Kerala,Kochi,2013,236.211,23.9988,1.1769,25246.5625
Kerala,Kochi,2014,239.6656,22.1197,1.2908,29254.8334
Kerala,Kochi,2015,242.4784,24.1493,1.2008,22608.2292
Kerala,Kochi,2016,240.814,21.9495,0.9486,29665.7916
Kerala,Kochi,2017,251.4802,24.6816,1.211,33975.0417
Kerala,Kochi,2018,240.1664,22.5473,1.1308,21686.1458
Kerala,Kochi,2019,253.9223,19.7007,1.3283,27990.8125
Kerala,Kochi,2020,147.9107,75.0262,2.2566,317745.7568
Kerala,Kochi,2021,252.5629,30.9516,1.5075,25143.0
Kerala,Kochi,2022,251.5921,26.5192,1.226,18516.9375
Kerala,Kochi,2023,256.2475,27.6802,1.3721,28457.8958
Kerala,Kochi,2024,264.8427,26.2264,1.4864,26884.7083
Kerala,Kochi,2025,262.9992,25.2183,1.1569,30522.9584
Kerala,Thiruvananthapuram,2010,134.2086,10.9834,1.2461,27311.5833
Kerala,Thiruvananthapuram,2011,136.204,12.6325,1.2804,26815.1458
Kerala,Thiruvananthapuram,2012,139.7327,16.3344,1.0512,28338.3125
Kerala,Thiruvananthapuram,2013,138.6515,11.4785,1.266,28005.5417
Kerala,Thiruvananthapuram,2014,143.3734,14.6939,1.1366,27698.9375
Kerala,Thiruvananthapuram,2015,143.7836,11.9047,1.4321,32038.1666
Kerala,Thiruvananthapuram,2016,145.1766,16.3508,1.2852,28816.8958
Kerala,Thiruvananthapuram,2017,92.0424,36.6302,2.0044,197185.5603
Kerala,Thiruvananthapuram,2018,85.4329,24.9047,2.3172,255160.4232
Kerala,Thiruvananthapuram,2019,76.6885,20.0412,2.2913,263509.0633
Kerala,Thiruvananthapuram,2020,90.8795,51.2941,2.0834,194838.909
Kerala,Thiruvananthapuram,2021,162.2177,15.9955,1.1794,31200.8333
Kerala,Thiruvananthapuram,2022,167.3483,15.6387,1.116,21468.6458
Kerala,Thiruvananthapuram,2023,157.419,16.4197,1.2548,31768.7292
Kerala,Thiruvananthapuram,2024,163.8452,15.9808,1.2639,27640.0417
Kerala,Thiruvananthapuram,2025,167.9004,15.0628,1.2446,28075.1666
Madhya Pradesh,Bhopal,2010,122.8669,11.647,1.0634,27531.1667
Madhya Pradesh,Bhopal,2011,125.315,13.2968,1.2917,24280.2708
Madhya Pradesh,Bhopal,2012,126.5558,12.2456,1.1629,27038.8958
Madhya Pradesh,Bhopal,2013,128.766,13.1037,1.2527,35676.6666
Madhya Pradesh,Bhopal,2014,129.4502,12.376,0.916,27712.125
Madhya Pradesh,Bhopal,2015,135.664,13.6518,1.3796,30192.0625
Madhya Pradesh,Bhopal,2016,132.056,11.8344,1.2592,28867.8125
Madhya Pradesh,Bhopal,2017,139.6333,14.8373,1.1604,26818.5208
Madhya Pradesh,Bhopal,2018,136.5654,12.0883,1.1944,20557.4583
Madhya Pradesh,Bhopal,2019,149.0848,47.3042,3.2195,383059.9098
Madhya Pradesh,Bhopal,2020,119.4823,32.2729,3.1696,217895.4595
Madhya Pradesh,Bhopal,2021,141.5354,14.9849,1.3267,31812.5625
Madhya Pradesh,Bhopal,2022,145.2038,11.3082,1.2814,31151.7708
Madhya Pradesh,Bhopal,2023,144.6321,13.7613,1.2066,28689.7708
Madhya Pradesh,Bhopal,2024,154.449,15.2803,1.1044,25430.0417
Madhya Pradesh,Bhopal,2025,147.1977,13.0046,1.0867,31035.5834
Maharashtra,Mumbai,2010,119.5533,12.6421,1.2306,17235.4583
Maharashtra,Mumbai,2011,124.2338,13.0671,1.4956,30462.1042
Maharashtra,Mumbai,2012,124.3835,10.709,1.1448,32996.5
Maharashtra,Mumbai,2013,125.115,12.2113,1.3614,29123.4792
Maharashtra,Mumbai,2014,125.9223,14.0771,1.1715,27108.2084
Maharashtra,Mumbai,2015,111.9098,40.7568,3.7274,188711.1045
Maharashtra,Mumbai,2016,111.8728,40.6983,3.8358,228078.587
Maharashtra,Mumbai,2017,111.9098,40.7568,3.7766,147779.8334
Maharashtra,Mumbai,2018,116.4621,36.551,3.8137,119430.8634
Maharashtra,Mumbai,2019,112.3922,41.9369,3.7478,141325.3299
Maharashtra,Mumbai,2020,113.0096,51.7727,3.1002,174616.0426
Maharashtra,Mumbai,2021,140.0763,12.0204,1.1192,27784.625
Maharashtra,Mumbai,2022,145.6554,14.3141,1.09,25086.6042
Maharashtra,Mumbai,2023,152.2892,13.238,1.3777,30795.375
Maharashtra,Mumbai,2024,141.5644,12.1452,1.055,32387.1875
Maharashtra,Mumbai,2025,140.5764,14.6488,1.3619,24058.3125
Meghalaya,Shillong,2010,95.3244,12.2801,1.3108,28106.3125
Meghalaya,Shillong,2011,100.1717,11.8817,1.2233,25505.2292
Meghalaya,Shillong,2012,99.4127,7.9965,1.1534,28673.2916
Meghalaya,Shillong,2013,100.9673,12.6905,1.3902,30476.125
Meghalaya,Shillong,2014,100.5956,7.3602,1.2662,20806.6042
Meghalaya,Shillong,2015,105.4071,11.3953,1.1502,30764.3334
Meghalaya,Shillong,2016,100.4471,10.0506,1.2921,32684.7292
Meghalaya,Shillong,2017,102.0129,6.3452,1.2998,28675.4167
Meghalaya,Shillong,2018,102.8202,8.628,1.0648,30321.625
Meghalaya,Shillong,2019,57.7662,24.0491,1.7473,39697.9936
Meghalaya,Shillong,2020,72.1324,32.6241,1.6996,43058.1519
Meghalaya,Shillong,2021,103.7886,8.3891,1.2683,36168.8125
Meghalaya,Shillong,2022,106.1692,9.8392,1.1683,27067.3958
Meghalaya,Shillong,2023,109.4161,11.0872,1.1062,32557.2917
Meghalaya,Shillong,2024,107.8117,8.7157,1.1256,28240.6042
Meghalaya,Shillong,2025,106.0854,10.8827,1.3725,37624.4375
Mizoram,Aizawl,2010,86.951,9.7411,1.3148,28106.3125
Mizoram,Aizawl,2011,88.661,9.1891,1.234,25505.2292
Mizoram,Aizawl,2012,86.3917,6.4975,1.1475,28673.2916
Mizoram,Aizawl,2013,89.7331,12.3054,1.38,30476.125
Mizoram,Aizawl,2014,87.9342,9.8273,1.2664,20806.6042
Mizoram,Aizawl,2015,90.5192,12.0499,1.1635,30764.3334
Mizoram,Aizawl,2016,90.291,10.0224,1.2946,32684.7292
Mizoram,Aizawl,2017,92.4169,9.5846,1.3123,28675.4167
Mizoram,Aizawl,2018,93.3625,9.4504,1.0521,30321.625
Mizoram,Aizawl,2019,92.331,9.3489,1.3004,26034.5833
Mizoram,Aizawl,2020,67.1953,40.451,1.6634,41874.7382
Mizoram,Aizawl,2021,94.3012,8.9568,1.2727,36168.8125
Mizoram,Aizawl,2022,98.9558,11.3297,1.1598,27067.3958
Mizoram,Aizawl,2023,101.8062,7.8067,1.0934,32557.2917
Mizoram,Aizawl,2024,99.8523,7.0955,1.12,28240.6042
Mizoram,Aizawl,2025,94.9662,10.5316,1.3733,37624.4375
Odisha,Brajrajnagar,2010,99.2269,10.0315,1.1917,26644.0417
Odisha,Brajrajnagar,2011,102.3094,9.7743,1.3206,27785.4375
Odisha,Brajrajnagar,2012,103.3875,10.3458,1.1454,19348.8125
Odisha,Brajrajnagar,2013,105.7334,10.8601,1.3306,26743.2292
Odisha,Brajrajnagar,2014,108.2686,10.6475,1.2969,22152.7292
Odisha,Brajrajnagar,2015,107.4883,10.7704,1.2204,23032.6667
Odisha,Brajrajnagar,2016,111.4092,9.7218,1.2386,27013.1667
Odisha,Brajrajnagar,2017,135.4131,41.0073,2.0358,232704.8542
Odisha,Brajrajnagar,2018,157.923,50.7379,4.2569,873873.6377
Odisha,Brajrajnagar,2019,147.6644,45.0614,4.3005,892159.491
Odisha,Brajrajnagar,2020,130.3175,18.2383,3.4874,661631.3495
Odisha,Brajrajnagar,2021,130.1831,12.4493,1.1519,24742.9167
Odisha,Brajrajnagar,2022,121.9488,11.2284,1.3506,22931.625
Odisha,Brajrajnagar,2023,134.1988,11.6157,1.3106,25145.3542
Odisha,Brajrajnagar,2024,140.3785,13.4013,1.4285,26307.7917
Odisha,Brajrajnagar,2025,145.4192,15.1734,1.1129,24982.2708
Odisha,Talcher,2010,189.5821,14.1079,1.2252,22521.7708
Odisha,Talcher,2011,187.7712,16.0949,1.1081,26831.875
Odisha,Talcher,2012,189.546,19.2775,1.1312,30379.1458
Odisha,Talcher,2013,191.6733,15.7741,1.4233,25960.2708
Odisha,Talcher,2014,198.2504,21.0587,1.0694,26473.0625
Odisha,Talcher,2015,197.3173,18.2399,1.5429,24130.0417
Odisha,Talcher,2016,199.9954,18.5398,1.1935,28429.9792
Odisha,Talcher,2017,206.3278,26.6358,1.9171,547452.1042
Odisha,Talcher,2018,192.6372,85.8807,4.7488,2632399.8234
Odisha,Talcher,2019,169.2435,81.3258,4.7583,2583266.302
Odisha,Talcher,2020,173.8372,76.0284,3.744,1866308.3862
Odisha,Talcher,2021,203.4427,21.1644,1.1438,26152.4792
Odisha,Talcher,2022,219.0067,19.9648,1.189,25514.4583
Odisha,Talcher,2023,211.0454,19.4055,1.1562,22527.75
Odisha,Talcher,2024,215.769,22.4841,1.1579,26706.0208
Odisha,Talcher,2025,214.6198,19.5975,1.3936,21177.1875
Punjab,Amritsar,2010,140.1621,14.2429,1.3688,25088.4375
Punjab,Amritsar,2011,141.4471,13.7633,1.0538,30490.1875
Punjab,Amritsar,2012,142.33,11.5086,1.2436,34271.125
Punjab,Amritsar,2013,141.7164,13.7779,1.3085,27755.8333
Punjab,Amritsar,2014,147.2596,14.0298,1.3914,28051.4792
Punjab,Amritsar,2015,147.1094,18.0106,1.2488,25789.6667
Punjab,Amritsar,2016,151.7158,14.7876,1.2717,28092.6666
Punjab,Amritsar,2017,153.47,70.2443,2.0804,271084.3972
Punjab,Amritsar,2018,126.2547,27.9765,1.901,502473.6111
Punjab,Amritsar,2019,106.1989,32.9538,2.0426,335932.6111
Punjab,Amritsar,2020,111.3334,36.3711,1.7886,179699.2684
Punjab,Amritsar,2021,159.7029,17.2476,1.1306,27469.6875
Punjab,Amritsar,2022,159.7929,13.3691,1.1706,34843.4375
Punjab,Amritsar,2023,156.3798,14.4506,1.1756,22226.2916
Punjab,Amritsar,2024,166.7073,16.1405,1.3067,32067.9792
Punjab,Amritsar,2025,175.9106,16.8369,1.3579,27713.25
Rajasthan,Jaipur,2010,150.5669,12.8999,0.9821,29093.2084
Rajasthan,Jaipur,2011,152.3725,12.9996,1.3471,21511.9792
Rajasthan,Jaipur,2012,155.4377,15.4381,1.3371,28998.6875
Rajasthan,Jaipur,2013,156.1448,12.2321,1.2683,28655.1666
Rajasthan,Jaipur,2014,159.9396,17.0029,1.2016,25583.5
Rajasthan,Jaipur,2015,157.1798,14.8795,1.1944,23800.5
Rajasthan,Jaipur,2016,162.9904,15.0435,1.1869,33141.7083
Rajasthan,Jaipur,2017,161.327,51.027,2.436,157132.9621
Rajasthan,Jaipur,2018,153.6326,24.7475,2.8494,226941.2446
Rajasthan,Jaipur,2019,125.8604,27.4053,2.8436,93964.8863
Rajasthan,Jaipur,2020,123.6715,37.4945,2.4787,80658.5126
Rajasthan,Jaipur,2021,171.1723,18.5446,1.0729,20255.9167
Rajasthan,Jaipur,2022,169.539,17.8396,1.2086,30464.9792
Rajasthan,Jaipur,2023,167.9127,13.761,1.4898,26321.6042
Rajasthan,Jaipur,2024,170.2669,14.4805,1.049,27555.625
Rajasthan,Jaipur,2025,175.0796,18.0775,1.2219,31391.3958
Tamil Nadu,Chennai,2010,146.9477,14.0149,1.0754,22149.7083
Tamil Nadu,Chennai,2011,148.1708,15.967,1.244,29551.5417
Tamil Nadu,Chennai,2012,149.9636,14.0886,1.306,29008.0208
Tamil Nadu,Chennai,2013,151.681,14.1371,1.2602,26960.0625
Tamil Nadu,Chennai,2014,156.2979,14.9189,1.3996,32037.0
Tamil Nadu,Chennai,2015,137.4782,19.536,4.732,122956.881
Tamil Nadu,Chennai,2016,136.6413,7.4533,4.698,143354.8224
Tamil Nadu,Chennai,2017,105.0618,11.7168,4.6642,170774.1711
Tamil Nadu,Chennai,2018,107.1514,22.3773,4.7094,161965.0937
Tamil Nadu,Chennai,2019,104.2108,7.778,4.653,116035.0343
Tamil Nadu,Chennai,2020,108.849,45.7514,3.8347,156473.7811
Tamil Nadu,Chennai,2021,179.8719,15.396,1.1788,24262.8125
Tamil Nadu,Chennai,2022,175.9133,15.3476,1.1629,31850.5625
Tamil Nadu,Chennai,2023,164.6714,14.7101,1.1146,35744.8542
Tamil Nadu,Chennai,2024,169.4033,16.2444,1.3042,29641.0833
Tamil Nadu,Chennai,2025,184.6562,18.4324,1.2986,31428.5625
Tamil Nadu,Coimbatore,2010,136.2279,11.4776,1.2912,27537.9167
Tamil Nadu,Coimbatore,2011,137.6312,15.0588,1.1765,27815.375
Tamil Nadu,Coimbatore,2012,137.4906,11.7701,1.3656,30539.1667
Tamil Nadu,Coimbatore,2013,138.9036,12.4588,1.1969,17371.0208
Tamil Nadu,Coimbatore,2014,141.8323,15.2334,1.2981,26751.5208
Tamil Nadu,Coimbatore,2015,149.7377,16.2352,1.1644,34415.3542
Tamil Nadu,Coimbatore,2016,146.4104,14.6088,1.189,25486.0833
Tamil Nadu,Coimbatore,2017,154.3677,14.8607,1.0931,24099.1458
Tamil Nadu,Coimbatore,2018,156.7092,13.506,1.1983,29451.1875
Tamil Nadu,Coimbatore,2019,92.1222,28.5749,3.8,108520.6515
Tamil Nadu,Coimbatore,2020,92.1518,51.8363,3.8052,302470.4216
Tamil Nadu,Coimbatore,2021,165.3621,17.0215,1.1175,24302.2292
Tamil Nadu,Coimbatore,2022,154.7256,14.6449,1.2137,31278.7292
Tamil Nadu,Coimbatore,2023,157.9912,16.2782,1.2077,29498.3958
Tamil Nadu,Coimbatore,2024,154.1902,14.964,1.3264,26889.1042
Tamil Nadu,Coimbatore,2025,170.4338,14.6386,1.1588,27749.2292
Telangana,Hyderabad,2010,189.8275,18.4611,1.0573,19773.6458
Telangana,Hyderabad,2011,192.6804,20.0738,1.2019,30463.6042
Telangana,Hyderabad,2012,191.4742,18.8795,1.3315,30983.625
Telangana,Hyderabad,2013,194.4069,15.8782,1.1238,20788.4375
Telangana,Hyderabad,2014,197.1931,21.1179,1.1521,28107.4375
Telangana,Hyderabad,2015,144.6027,35.9234,4.0456,365337.5481
Telangana,Hyderabad,2016,123.0668,24.1011,4.0022,220263.0624
Telangana,Hyderabad,2017,111.3392,35.2995,4.0315,275388.4446
Telangana,Hyderabad,2018,100.4971,30.4816,3.9608,408723.5041
Telangana,Hyderabad,2019,92.6115,36.5681,4.0859,476991.0042
Telangana,Hyderabad,2020,105.5828,65.1988,3.3558,314299.8149
Telangana,Hyderabad,2021,215.5402,22.754,1.2477,30294.875
